Feature,Importance
Diag 01 Principal (cod+des),0.28213487707383206
Proced 01 Principal (cod+des),0.24464967774986746
Diag 02 Secundario (cod+des),0.1399272345647037
Proced 02 Secundario (cod+des),0.1273358284748338
Diag 03 Secundario (cod+des),0.09018933429908435
Edad en años,0.07887847747553046
Grupo_Edad,0.021896846619129703
Sexo (Desc),0.014987723743018492
