Model,Accuracy,Weighted_F1,Macro_F1
CatBoost,0.6558139534883721,0.663787947416391,0.6094433920938933
DecisionTree,0.5837209302325581,0.5944674336894294,0.5836651540286438
RandomForest,0.5736434108527132,0.5809090542520966,0.5744701142530599
